,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,distance_travelled,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,risk_level_train,risk_propagation_pred,risk_spreading_pred
139,18,50.0,2620.0,-0.62,18.0,88.0,0.0115,24.7,70.0,6,8.0,2.2,25.0,70.0,3.0,2,-1,1,1
140,18,50.0,2558.0,-0.38,18.8,88.0,0.0163999999999999,24.7,70.0,6,8.0,2.2,24.0,70.0,3.0,2,-1,1,1
141,18,50.0,2605.0,0.11,27.1,88.0,0.0047,71.8,71.0,6,8.0,2.2,22.0,70.0,4.0,2,-1,1,1
142,18,52.0,2680.0,0.11,18.4,87.0,0.022,25.1,71.0,6,8.0,2.2,22.0,70.0,4.0,2,-1,1,1
143,18,52.0,2678.0,0.46,21.2,87.0,0.0167999999999999,38.8,71.0,6,8.0,2.2,24.0,70.0,4.0,2,-1,1,1
144,18,53.0,2725.0,0.46,29.0,87.0,0.0131999999999999,82.0,71.0,6,8.0,2.2,25.0,70.0,4.0,2,-1,1,1
145,18,55.0,2851.0,0.46,65.1,87.0,0.0178,90.6,71.0,6,8.0,2.2,25.0,70.0,4.0,2,-1,1,1
146,18,55.0,2863.0,0.0,22.4,87.0,0.0132999999999999,29.8,71.0,6,8.0,2.2,27.0,70.0,4.0,2,-1,1,2
147,18,54.0,2819.0,-0.4,19.6,87.0,0.0167,19.2,71.0,6,8.0,2.2,28.0,70.0,4.0,2,-1,1,2
148,18,54.0,2768.0,-0.4,21.2,87.0,0.0135999999999999,40.0,71.0,6,8.0,2.2,28.0,70.0,4.0,2,-1,1,1
149,19,55.0,2844.0,0.23,45.9,87.0,0.0133,91.4,71.0,6,11.3,2.4,27.0,70.0,2.0,1,-1,1,1
150,19,59.0,3014.0,0.47,71.0,87.0,0.0175999999999999,94.5,71.0,6,11.3,2.4,27.0,70.0,2.0,2,-1,2,2
151,19,61.0,3239.0,0.94,71.4,87.0,0.0107,96.5,71.0,6,11.3,2.4,27.0,70.0,2.0,2,-1,1,1
152,19,62.0,3111.0,0.2,62.7,87.0,0.0235999999999999,88.2,71.0,6,11.3,2.4,28.0,70.0,2.0,2,-1,2,2
153,19,64.0,2509.0,0.47,62.7,87.0,0.0159,89.8,71.0,6,11.3,2.4,28.0,70.0,2.0,1,-1,1,1
154,19,64.0,2504.0,0.21,18.8,87.0,0.018,31.0,68.0,6,11.3,2.4,10.0,70.0,0.0,1,-1,1,2
155,19,64.0,2502.0,-0.25,19.6,88.0,0.0196999999999999,32.9,68.0,6,11.3,2.4,11.0,70.0,0.0,1,-1,1,2
156,19,63.0,2493.0,-0.25,16.9,88.0,0.0104,21.2,67.0,6,11.3,2.4,12.0,70.0,0.0,1,-1,1,2
157,19,62.0,2451.0,-0.39,17.3,88.0,0.0243999999999999,23.9,67.0,6,11.3,2.4,11.0,70.0,0.0,1,-1,1,1
158,19,61.0,2412.0,-0.47,31.8,88.0,0.0127999999999999,83.5,67.0,6,11.3,2.4,12.0,70.0,0.0,1,-1,1,1
159,19,63.0,2452.0,0.5,45.5,88.0,0.0187,83.5,67.0,6,11.3,2.4,14.0,70.0,0.0,1,-1,1,1
160,19,65.0,2525.0,0.5,29.4,88.0,0.0208,77.3,67.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
161,19,67.0,2596.0,0.46,63.1,88.0,0.0173999999999999,90.2,67.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
162,19,68.0,2652.0,0.44,63.5,88.0,0.0115999999999999,90.6,68.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
163,19,68.0,2679.0,0.18,18.8,88.0,0.0238,30.6,68.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
164,19,68.0,2665.0,-0.23,18.8,88.0,0.0228,27.5,68.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
165,19,67.0,2645.0,0.0,18.8,88.0,0.0144999999999999,27.8,68.0,6,11.3,2.4,17.0,70.0,0.0,1,1,1,1
166,19,66.0,2589.0,-0.68,17.6,88.0,0.022,24.7,68.0,6,11.3,2.4,19.0,70.0,0.0,1,-1,1,1
